Day,Type,Range,Value
1,Attack,0,0.26612041325258284
1,Attack,1-10,0.39045244032775206
1,Attack,11-20,0.14535090844317777
1,Attack,21-30,0.08799429996437477
1,Attack,31-40,0.04275026718916993
1,Attack,41-50,0.028143925899536872
1,Attack,51-60,0.017100106875667972
1,Attack,61-70,0.009262557890986818
1,Attack,71-80,0.003918774492340577
1,Attack,81-90,0.0024937655860349127
1,Attack,91-100,0.0017812611328820805
1,Attack,>100,0.004631278945493409
2,Attack,0,0.2623126338329764
2,Attack,1-10,0.40756602426837973
2,Attack,11-20,0.14132762312633834
2,Attack,21-30,0.07173447537473233
2,Attack,31-40,0.04318344039971449
2,Attack,41-50,0.03140613847251963
2,Attack,51-60,0.017844396859386154
2,Attack,61-70,0.010706638115631691
2,Attack,71-80,0.0039257673090649535
2,Attack,81-90,0.0032119914346895075
2,Attack,91-100,0.0017844396859386152
2,Attack,>100,0.004996431120628123
3,Attack,0,0.2644569816643159
3,Attack,1-10,0.41431593794076166
3,Attack,11-20,0.15197461212976024
3,Attack,21-30,0.07545839210155147
3,Attack,31-40,0.04231311706629055
3,Attack,41-50,0.022566995768688293
3,Attack,51-60,0.011283497884344146
3,Attack,61-70,0.005994358251057828
3,Attack,71-80,0.003173483779971791
3,Attack,81-90,0.0028208744710860366
3,Attack,91-100,0.0010578279266572638
3,Attack,>100,0.004583921015514809
4,Attack,0,0.25977859778597784
4,Attack,1-10,0.47712177121771215
4,Attack,11-20,0.14538745387453875
4,Attack,21-30,0.05793357933579336
4,Attack,31-40,0.020664206642066422
4,Attack,41-50,0.014022140221402213
4,Attack,51-60,0.00959409594095941
4,Attack,61-70,0.004428044280442804
4,Attack,71-80,0.004797047970479705
4,Attack,81-90,0.002214022140221402
4,Attack,91-100,0.0014760147601476014
4,Attack,>100,0.0025830258302583027
5,Attack,0,0.30194658216387504
5,Attack,1-10,0.447713897691263
5,Attack,11-20,0.12403802625622454
5,Attack,21-30,0.0552286102308737
5,Attack,31-40,0.029877772747849706
5,Attack,41-50,0.014486192847442281
5,Attack,51-60,0.009959257582616569
5,Attack,61-70,0.007243096423721141
5,Attack,71-80,0.0036215482118605704
5,Attack,81-90,0.0022634676324128564
5,Attack,91-100,0.0009053870529651426
5,Attack,>100,0.002716161158895428
6,Attack,0,0.30013580805794476
6,Attack,1-10,0.4210049796287913
6,Attack,11-20,0.13354459031235855
6,Attack,21-30,0.06247170665459484
6,Attack,31-40,0.02761430511543685
6,Attack,41-50,0.015391579900407425
6,Attack,51-60,0.01403349932095971
6,Attack,61-70,0.006790402897238569
6,Attack,71-80,0.004526935264825713
6,Attack,81-90,0.0022634676324128564
6,Attack,91-100,0.0036215482118605704
6,Attack,>100,0.008601177003168854
7,Attack,0,0.30105070808588397
7,Attack,1-10,0.40657834627683875
7,Attack,11-20,0.13522156235724075
7,Attack,21-30,0.06806761078117862
7,Attack,31-40,0.03563270899954317
7,Attack,41-50,0.01416171767930562
7,Attack,51-60,0.010050251256281407
7,Attack,61-70,0.006395614435815441
7,Attack,71-80,0.00548195523069895
7,Attack,81-90,0.005025125628140704
7,Attack,91-100,0.002740977615349475
7,Attack,>100,0.009593421653723162
8,Attack,0,0.30889810972798526
8,Attack,1-10,0.3877362840018442
8,Attack,11-20,0.13877362840018442
8,Attack,21-30,0.07422775472568004
8,Attack,31-40,0.03227293683725219
8,Attack,41-50,0.022591055786076533
8,Attack,51-60,0.010603964960811434
8,Attack,61-70,0.009681881051175657
8,Attack,71-80,0.003227293683725219
8,Attack,81-90,0.004610419548178884
8,Attack,91-100,0.0018441678192715537
8,Attack,>100,0.005532503457814661
9,Attack,0,0.3140726933830382
9,Attack,1-10,0.3849021435228332
9,Attack,11-20,0.14212488350419386
9,Attack,21-30,0.06989748369058714
9,Attack,31-40,0.032618825722273995
9,Attack,41-50,0.021435228331780055
9,Attack,51-60,0.010717614165890028
9,Attack,61-70,0.0065237651444548
9,Attack,71-80,0.0060577819198508855
9,Attack,81-90,0.0032618825722274
9,Attack,91-100,0.0032618825722274
9,Attack,>100,0.005125815470643057
10,Attack,0,0.3072261072261072
10,Attack,1-10,0.3701631701631702
10,Attack,11-20,0.14731934731934732
10,Attack,21-30,0.08065268065268065
